1	Novak Djokovic	Serbia & Montenegro	0	12900
2	Andy Murray	Great Britain	0	10985
3	Stan Wawrinka	Switzerland	0	5865
4	Kei Nishikori	Japan	1	4905
5	Milos Raonic	Canada	1	4690
6	Rafael Nadal	Spain	0	4080
7	Gael Monfils	France	1	3635
8	Dominic Thiem	Austria	1	3250
9	Roger Federer	Switzerland	2	3220
10	Marin Cilic	Croatia	2	3100
11	Tomas Berdych	Czech Republic	1	3060
12	David Goffin	Belgium	1	2780
13	Jo-Wilfried Tsonga	France	2	2460
14	Nick Kyrgios	Australia	1	2460
15	Roberto Bautista Agut	Spain	1	2385
16	David Ferrer	Spain	3	2135
17	Lucas Pouille	France	0	2106
18	Grigor Dimitrov	Bulgaria	0	2035
19	Richard Gasquet	France	3	1975
20	Ivo Karlovic	Croatia	3	1760
21	Alexander Zverev	Germany	1	1745
22	Pablo Cuevas	Uruguay	1	1700
23	Gilles Simon	France	1	1585
24	Jack Sock	USA	2	1540
25	Bernard Tomic	Australia	0	1510
26	Albert Ramos-Vinolas	Spain	0	1435
27	John Isner	USA	0	1430
28	Viktor Troicki	Serbia & Montenegro	0	1430
29	Sam Querrey	USA	0	1375
30	Feliciano Lopez	Spain	0	1375
31	Pablo Carreno Busta	Spain	1	1360
32	Philipp Kohlschreiber	Germany	1	1315
33	Steve Johnson	USA	2	1295
34	Gilles Muller	Luxembourg	3	1255
35	Martin Klizan	Slovakia	0	1230
36	Marcel Granollers	Spain	3	1151
37	Marcos Baghdatis	Cyprus	1	1115
38	Juan Martin del Potro	Argentina	4	1110
39	Paolo Lorenzi	Italy	1	1100
40	Kyle Edmund	Great Britain	0	1075
41	Nicolas Mahut	France	0	1057
42	Federico Delbonis	Argentina	6	1040
43	Joao Sousa	Portugal	9	1030
44	Nicolas Almagro	Spain	1	1013
45	Benoit Paire	France	1	1005
46	Fernando Verdasco	Spain	1	1000
47	Borna Coric	Croatia	1	980
48	Andrey Kuznetsov	Russia	1	970
49	Fabio Fognini	Italy	0	945
50	Stephane Robert	France	0	926
51	Mikhail Youzhny	Russia	0	890
52	Florian Mayer	Germany	3	888
53	Mischa Zverev	Germany	19	873
54	Karen Khachanov	Russia	9	873
55	Diego Schwartzman	Argentina	1	845
56	Jiri Vesely	Czech Republic	0	838
57	Guido Pella	Argentina	2	828
58	Kevin Anderson	South Africa	6	825
59	Thomaz Bellucci	Brazil	1	816
60	Adrian Mannarino	France	7	816
61	Daniel Evans	Great Britain	1	816
62	Malek Jaziri	Tunisia	1	813
63	Alexandr Dolgopolov	Ukraine	1	805
64	Robin Haase	Netherlands	0	780
65	Yen-Hsun Lu	Taipei	17	774
66	Gastao Elias	Portugal	9	756
67	Paul-Henri Mathieu	France	2	751
68	Facundo Bagnis	Argentina	1	750
69	Illya Marchenko	Ukraine	3	749
70	Dustin Brown	Germany	2	742
71	Juan Monaco	Argentina	2	740
72	John Millman	Australia	2	735
73	Taylor Fritz	USA	0	729
74	Gerald Melzer	Austria	0	728
75	Jeremy Chardy	France	0	725
76	Ricardas Berankis	Lithuania	15	720
77	Guillermo Garcia-Lopez	Spain	1	715
78	Federico Zeballos	Bolivia	0	711
79	Konstantin Kravchuk	Russia	0	707
80	Damir Dzumhur	Bosnia and Herzegovina	12	699
81	Thiago Monteiro	Brazil	1	687
82	Inigo Cervantes	Spain	1	685
83	Adam Pavlasek	Czech Republic	1	684
84	Renzo Olivo	Argentina	2	678
85	Jordan Thompson	Australia	10	675
86	Andreas Seppi	Italy	1	665
87	Pierre-Hugues Herbert	France	3	663
88	Aljaz Bedene	Great Britain	3	662
89	Dusan Lajovic	Serbia & Montenegro	12	662
90	Yuichi Sugita	Japan	2	661
91	Jan-Lennard Struff	Germany	2	659
92	Carlos Berlocq	Argentina	3	656
93	Donald Young	USA	10	651
94	Dudi Sela	Israel	23	649
95	Mikhail Kukushkin	Russia	2	634
96	Ryan Harrison	USA	2	630
97	Yoshihito Nishioka	Japan	2	620
98	Santiago Giraldo	Colombia	2	613
99	Radu Albot	Moldova	2	612
100	Taro Daniel	Japan	4	611